label,source,sentence
shame,emotional_events,"When I overtook a car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and I had an acquaintance in the car with me."
shame,emotional_events,"After having quarelled unnecessarily and without any reason, and having been stupidly cross in every way."
shame,emotional_events,When I received a letter from my girlfriend telling me that she was engaged to an another man.
shame,emotional_events,"When I realized that I belonged to a country which is amongst the poorest in the world and that inspite of having the resources we do not utilize them.  I was ashamed at myself and my country, shame at the lack of parity between the lifestyles of the citizens."
shame,emotional_events,Not being able to be selected for the dancing team.
shame,emotional_events,"During our last exarcise in agricultural machines we went out in the yard to examine a row of machines. But we seemed not to have fulfilled our task well, because when our teacher came and asked me a question I was unable to answer. I felt awkward because he didn't deserve it."
shame,emotional_events,"When I went to a sauna with my father for the first time (I was 16). When I entered the sauna naked, I felt ashamed for a short time."
shame,emotional_events,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.
shame,emotional_events,"As part of the assessment I had to speak on a subject in front of the class. I was not really prepared and I was just reading the stuff I had on a piece of paper, when some of the students  asked me something I could not give them an answer.  I felt ashamed as I had not prepared the topic."
shame,emotional_events,I didn't offer my seat to a pregnant woman in the bus.
shame,emotional_events,An exam where questions about very specific knowledge were asked.
shame,emotional_events,"When I was caught telling a white lie.  At that time, I was not allowed to stay outdoors after 8 p.m.  One day when I was late, I made up a story that our neighbour had invited me to his place, though I had actually forgotten about the time while playing with my pals."
shame,emotional_events,When I wet my head (or bed ?) one day my sister discovered it and reported it to the other siblings. So my mother had to scold me.
shame,emotional_events,[ Can not think of anything.]
shame,emotional_events,Not quick enough to help the lectors to catty things for the lecture.
shame,emotional_events,I was walking one day and I met a man who wanted to ask me about my brother but I didn't stop to hear what he was saying. I was ashamed when I found him at home and he told my brother what had happened.
shame,emotional_events,When I had my first sexual relation and it didn't work.
shame,emotional_events,[ No response.]
shame,emotional_events,Being caught by parents in a compromising situation with girlfriend.
shame,emotional_events,"My brother came to see me and found me with a boy friend.  When my boyfriend greeted him, he did not answer and instead started shouting at me and scolding me in the prescence of my boyfriend."
shame,emotional_events,When I forgot the birthday of my best friend and I innocently came to visit her one week later.
shame,emotional_events,"Some days ago I fell down at a public place, I came into notice but thank God I was not mocked at. Though it hurt badly, at the first moment I felt shame, not ache."
shame,emotional_events,"While shopping, a person close to us created an uncomfortable situation for those who were with her."
shame,emotional_events,Saw the film about Eight Nations Army conquering Beijing.
shame,emotional_events,Finding out that the university police was afraid to stop the foreign students playing loud music (China's shame).
shame,emotional_events,Getting a low grade on a midterm.
shame,emotional_events,While intoxicated I invaded someone's (a girl's) personal space to a large extent.
shame,emotional_events,I made a comment and it was interpreted completely differently from what I had meant.  When I said it I realized how my mother had understood it.
shame,emotional_events,I was running in front of a crowd when I slipped and fell on a wet lawn.
shame,emotional_events,In our flat the bath-tub is in the kitchen. At the beginning I had very intensive feelings of shame when I had a bath and people were in the kitchen.
shame,emotional_events,In a very crowded shop I was distracted and missed my turn in the queue.  A woman who was behind me began to shout at me asking me either to pay more attention or to leave.
shame,emotional_events,"My love and me rented a room in a hotel one evening.  We stayed there a few hours and when leaving the hotel, I felt ashamed."
shame,emotional_events,"I went to study in a public library but I didn't know it well. I got a book and wanted to study hearing music. Then I went to a place were I could do it, but when I passed by a door a bell rang and a man came saying that I couldn't leave with the book."
shame,emotional_events,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor."
shame,emotional_events,I lied to a friend.
shame,emotional_events,When I did poorly on a test and I knew that there wasn't an excuse for not doing better. Made mistakes I could not believe I made.
shame,emotional_events,"I do not seem to feel emotion such as shame, guilt or fear - far out !"
shame,emotional_events,I was ashamed when my boyfriend went to sit with another girl when he invited me to come to watch Drama festival.
shame,emotional_events,When I went to meet the family of my boyfriend in a party in his house. His mother was eager to know me and all his friends ready to make jokes about the situation.
shame,emotional_events,I liked a boy and I would feel shy and then blush.  The more I wanted to avoid it the more I blushed.
shame,emotional_events,The parents of a friend of mine surprised us and another couple sleeping in thier place.
shame,emotional_events,[ Cannot recall any incident when I felt shame.]
shame,emotional_events,My son was apprehended for shoplifting at the age of 14. Because I too had been apprehended at the same age I felt the shame of not having been able to prevent my son from acting in the same way.
shame,emotional_events,My teacher asked me a question which I failed to answer and I was told to stay behind after the class and give the answer after studying it from a book.
shame,emotional_events,A girl asked me why I didn't dance. I told her I was ashamed to dance. I felt myself ashamed having to tell her this.
shame,emotional_events,I had lied to a person because I had thought that I could not tell him the truth. When he found out he was not angry but understanding. We talked the whole thing over.
shame,emotional_events,When I was in a religious school my teacher showed me up in front of all my class-mates.  They were very sarcastic and cruel.
shame,emotional_events,"I was watching T.V with my parents and some pornographic scenes came on, I felt uncomfortable and tried to distract my parents attention by talking to them."
shame,emotional_events,"When I realized that my bathing suit was spotted, I had became menstruated."
shame,emotional_events,"When I was young I was playing football near my parent's house and while playing I fell on the ground. At first I thought I was not seen by anybody, but when my mother laughed I felt very ashamed."
shame,emotional_events,Felt ashamed when in a group conversation and could not understand words or comprehend the topic of discussion.
shame,emotional_events,Can't remember that feeling.
shame,emotional_events,Getting very low marks in mathematics.
